"","DATE","HOME_TEAM","AWAY_TEAM","WINNER","0","1"
"501","2015-01-04","CLE","DAL","AWAY",63,68
"502","2015-01-04","DET","SAC","HOME",80,69
"503","2015-01-04","LAL","IND","HOME",101,60
"504","2015-01-04","MIA","BKN","HOME",77,58
"505","2015-01-04","NYK","MIL","AWAY",66,49
"506","2015-01-04","PHX","TOR","HOME",75,78
"507","2015-01-05","BKN","DAL","AWAY",91,66
"508","2015-01-05","BOS","CHA","AWAY",79,58
"509","2015-01-05","CHI","HOU","HOME",85,75
"510","2015-01-05","GSW","OKC","HOME",83,57
"511","2015-01-05","LAC","ATL","AWAY",84,66
"512","2015-01-05","MEM","NYK","HOME",61,62
"513","2015-01-05","MIN","DEN","AWAY",84,83
"514","2015-01-05","NOP","WAS","AWAY",75,68
"515","2015-01-05","PHI","CLE","HOME",70,56
"516","2015-01-05","POR","LAL","HOME",93,63
"517","2015-01-05","UTA","IND","AWAY",75,69
"518","2015-01-06","MIL","PHX","AWAY",86,71
"519","2015-01-06","SAS","DET","AWAY",62,60
"520","2015-01-07","ATL","MEM","HOME",73,59
"521","2015-01-07","BKN","BOS","AWAY",88,61
"522","2015-01-07","CHA","NOP","HOME",83,68
"523","2015-01-07","CHI","UTA","AWAY",92,59
"524","2015-01-07","CLE","HOU","AWAY",80,59
